Time,Home,Away,Status
"20:30","FAC Wien","Schwarz-Weiss Bregenz","Scheduled"
"20:30","SK Sturm Graz II","FC Liefering","Scheduled"
"20:30","Orbit College FC","Mamelodi Sundowns","Scheduled"
"20:30","Al Dhafra SSC","Al Jazira (UAE)","Scheduled"
"20:30","AL Bataeh (UAE)","Ajman Club","Scheduled"
"20:30","FK Sloga Doboj","FK Zeljeznicar Sarajevo","Scheduled"
"20:30","DJK Vilzing","FC Wurzburger Kickers","Scheduled"
"20:45","Galatasaray Istanbul","Liverpool FC","Scheduled"
"21:00","SL Benfica","Torreense","Scheduled"
"21:00","Vilnius FK Zalgiris","FK Suduva Marijampole","Scheduled"
"21:00","Olympique Lyon","Le Havre AC","Scheduled"
"21:00","FC Memmingen","TSV Aubstadt","Scheduled"
"21:00","SpVgg Hankofen-Hailing","VfB Eichstatt","Scheduled"
"22:00","K Beerschot VA","RSC Anderlecht Futures","Scheduled"
"22:00","Patro Eisden Maasmechelen","RFC Liege","Scheduled"
"22:00","KAS Eupen","Koninklijke Lierse Sportkring","Scheduled"
"22:00","Jong KRC Genk","Club NXT","Scheduled"
"22:00","AL Ahli Jeddah","AL Jabalain FC U21","Scheduled"
"22:00","FCM Traiskirchen","SV Gloggnitz","Scheduled"
"22:00","AL Hazem U21","AL Hilal (Ksa)","Scheduled"
"22:00","Cruzeiro Arapiraca AL","AA Dimensao Saude AL","Scheduled"
"22:30","El Gouna FC","Al Masry Club","Scheduled"
"22:30","Fgura United FC","Balzan FC","Scheduled"
"22:30","Liverpool Montevideo","Central Espanol Reserve","Scheduled"
"22:30","Juventud de Las Piedras","Cerro Largo FC","Scheduled"
"22:30","Caerau Ely FC","Treowen Stars","Scheduled"
"22:30","Holywell Town","Newtown AFC","Scheduled"
"22:30","Cwmbran Celtic","Llantwit Major","Scheduled"
"22:45","Wigan Athletic","Plymouth Argyle","Scheduled"
"22:45","Sheffield Wednesday","Watford FC","Scheduled"
"22:45","Portsmouth FC","Swansea City","Scheduled"
"22:45","Millwall FC","Derby County","Scheduled"
"22:45","Leicester City","Bristol City","Scheduled"
"22:45","Wrexham AFC","Hull City","Scheduled"
"22:45","Linfield FC","Portadown FC","Scheduled"
"22:45","Bangor FC","Glentoran FC","Scheduled"
"22:45","Crusaders FC","Cliftonville FC","Scheduled"
"22:45","Stevenage FC","Leyton Orient London","Scheduled"
"22:45","Barnsley FC","Cardiff City","Scheduled"
"22:45","Mansfield Town","Reading FC","Scheduled"
"22:45","Exeter City","Lincoln City","Scheduled"
"22:45","Gillingham FC","Milton Keynes Dons","Scheduled"
"22:45","Salford City","Walsall FC","Scheduled"
"22:45","Doncaster Rovers","Luton Town","Scheduled"
"22:45","Barrow AFC","Bristol Rovers","Scheduled"
"22:45","Ayr United FC","Queens Park FC","Scheduled"
"22:45","Peterhead FC","Alloa Athletic FC","Scheduled"
"22:45","Flint Mountain","CPD Y Rhyl 1879","Scheduled"
"22:45","Fleetwood Town","Cheltenham Town","Scheduled"
"22:45","Aldershot Town FC","Carlisle United","Scheduled"
"22:45","Scunthorpe United","Sutton United","Scheduled"
"22:45","Eastleigh FC","Brackley Town FC","Scheduled"
"22:45","Southend United","Gateshead FC","Scheduled"
"22:45","Woking FC","Boreham Wood FC","Scheduled"
"22:45","Wealdstone FC","Tamworth FC","Scheduled"
"22:45","Dumbarton FC","Stranraer FC","Scheduled"
"22:45","Annan Athletic FC","Elgin City FC","Scheduled"
"22:45","AFC Fylde","AFC Telford United","Scheduled"
"22:45","Bedford Town Football Club","Worksop Town","Scheduled"
"22:45","Darlington FC","Buxton FC","Scheduled"
"22:45","Hereford FC","Leamington FC","Scheduled"
"22:45","Curzon Ashton FC","Oxford City","Scheduled"
"22:45","Kidderminster Harriers FC","Peterborough Sports","Scheduled"
"22:45","Southport FC","Spennymoor Town FC","Scheduled"
"22:45","Alfreton Town FC","Radcliffe FC","Scheduled"
"22:45","Chorley FC","South Shields","Scheduled"
"22:45","Marine FC","Macclesfield FC","Scheduled"
"22:45","Merthyr Town","Chester FC","Scheduled"
"22:45","Scarborough Athletic","King's Lynn Town","Scheduled"
"22:45","Worthing FC","Maidenhead United FC","Scheduled"
"22:45","Slough Town","Hampton & Richmond Borough","Scheduled"
"22:45","Torquay United","Salisbury FC","Scheduled"
"22:45","Eastbourne Borough","Ebbsfleet United FC","Scheduled"
"22:45","Weston-super-Mare","AFC Totton","Scheduled"
"22:45","Dorking Wanderers","Chelmsford City","Scheduled"
"22:45","Horsham FC","Hornchurch FC","Scheduled"
"22:45","Bath City FC","Farnborough FC","Scheduled"
"22:45","Dover Athletic FC","Tonbridge Angels","Scheduled"
"22:45","Maidstone United FC","Dagenham and Redbridge FC","Scheduled"
"22:45","Hemel Hempstead Town","Chippenham Town FC","Scheduled"
"22:45","Kettering Town","Alvechurch","Scheduled"
"22:45","Berkhamsted FC","Hanwell Town FC","Scheduled"
"22:45","Plymouth Parkway","Wimborne Town","Scheduled"
"22:45","Cheshunt FC","Dartford FC","Scheduled"
"22:45","Dulwich Hamlet","Whitehawk FC","Scheduled"
"22:45","Farnham Town","Havant & Waterlooville","Scheduled"
"22:45","Stratford Town","Halesowen Town FC","Scheduled"
"22:45","Cleethorpes Town FC","Morpeth Town","Scheduled"
"22:45","Bishop's Stortford","Harborough Town FC","Scheduled"
"22:45","Chertsey Town FC","Taunton Town","Scheduled"
"22:45","Canvey Island","Chichester City FC","Scheduled"
"22:45","Brickfield Rangers","Airbus UK Broughton","Scheduled"
"22:45","Loughgall FC","Ards FC","Scheduled"
"22:45","Harland And Wolff Welders","Dundela FC","Scheduled"
"22:45","Warrenpoint Town FC","Newington FC","Scheduled"
"23:00","Atletico Madrid","Tottenham Hotspur","Scheduled"
"23:00","Atalanta BC","Bayern Munich","Scheduled"
"23:00","Newcastle United","FC Barcelona","Scheduled"
"23:00","Stoke City","Ipswich Town","Scheduled"
"23:00","CD Real Santander","Boca Juniors de Cali","Scheduled"
"23:00","Once Caldas Sa","CDP Junior FC","Scheduled"
"23:30","Llaneros FC","Fortaleza Ceif FC","Scheduled"
"00:00","International FC","Independiente Medellin","Scheduled"
"01:00","Associacao Portuguesa de Desportos SP","Avai FC SC","Scheduled"
"01:00","Union Espanola","Deportes Magallanes","Scheduled"
"01:00","Bolivar","CR Flamengo RJ","Scheduled"
"01:00","America de Cali Sa","Orsomarso SC","Scheduled"
"01:00","Atletico Nacional SA","Millonarios FC","Scheduled"
"01:30","Joinville EC SC","Sao Bernardo FC","Scheduled"
"01:45","CA Independiente Avellaneda","Union de Santa Fe","Scheduled"
"01:45","CA Tigre","Velez Sarsfield","Scheduled"
"02:00","Philadelphia Union","CF America","Scheduled"
"02:00","Cristal AP","Ypiranga Clube AP","Scheduled"
"02:20","CA Bucaramanga","Deportivo Pereira FC SA","Scheduled"
