Time,Home,Away,Status
"20:30","SK Sturm Graz II","FC Liefering","Scheduled"
"20:30","FAC Wien","Schwarz-Weiss Bregenz","Scheduled"
"20:30","Orbit College FC","Mamelodi Sundowns","Scheduled"
"20:30","AL Bataeh (UAE)","Ajman Club","Scheduled"
"20:30","Al Dhafra","Al Jazira (UAE)","Scheduled"
"20:30","DJK Vilzing","Wurzburger Kickers","Scheduled"
"20:30","FK Sloga Doboj","FK Zeljeznicar Sarajevo","Scheduled"
"20:30","ASV Cham","Wurzburg","Scheduled"
"20:30","SpVgg SV Weiden","E. Bamberg","Scheduled"
"20:45","Galatasaray","Liverpool","Scheduled"
"21:00","SL Benfica","Torreense","Scheduled"
"21:00","Vilnius FK Zalgiris","FK Suduva","Scheduled"
"21:00","Olympique Lyon W","Le Havre AC W","Scheduled"
"21:00","Berlin II","Greifswald","Scheduled"
"21:00","Hankofen-Hailing","Eichstatt","Scheduled"
"21:00","Memmingen","Aubstadt","Scheduled"
"21:00","BFC Dynamo","Magdeburg II","Scheduled"
"21:00","Eppelborn","Diefflen","Scheduled"
"21:00","Eltersdorf","Hof","Scheduled"
"21:00","SC Grosschwarzenlohe","Fortuna Regensburg","Scheduled"
"21:30","FC Sportfreunde Schwaig 1913","Ismaning","Scheduled"
"22:00","K Beerschot VA","RSC Anderlecht U23","Scheduled"
"22:00","Patro Eisden Maasmechelen","RFC Liege","Scheduled"
"22:00","KAS Eupen","Lierse Kempenzonen","Scheduled"
"22:00","KRC Genk U23","Club Brugge KV U23","Scheduled"
"22:00","AL Ahli Jeddah","AL Jabalain FC U21","Scheduled"
"22:00","FCM Traiskirchen","SV Gloggnitz","Scheduled"
"22:00","AL Hazem U21","AL Hilal (Ksa)","Scheduled"
"22:00","Cruzeiro Arapiraca AL","Dimensao Saude","Scheduled"
"22:30","El Gouna","Al Masry Club","Scheduled"
"22:30","Fgura Utd","Balzan FC","Scheduled"
"22:30","Liverpool","Central Espanol Reserve","Scheduled"
"22:30","Juventud de Las Piedras","Cerro Largo","Scheduled"
"22:30","Caerau Ely FC","T. Stars","Scheduled"
"22:30","Holywell Town","Newtown AFC","Scheduled"
"22:30","Cwmbran Celtic","Llantwit Major","Scheduled"
"22:30","Thor/Ka W","FH Hafnarfjordur W","Scheduled"
"22:45","Wigan","Plymouth","Scheduled"
"22:45","Portsmouth","Swansea","Scheduled"
"22:45","Sheffield Wed","Watford","Scheduled"
"22:45","Millwall","Derby","Scheduled"
"22:45","Leicester","Bristol City","Scheduled"
"22:45","Wrexham","Hull City","Scheduled"
"22:45","Bangor FC","Glentoran FC","Scheduled"
"22:45","Linfield FC","Portadown FC","Scheduled"
"22:45","Crusaders FC","Cliftonville FC","Scheduled"
"22:45","Barnsley","Cardiff","Scheduled"
"22:45","Exeter","Lincoln City","Scheduled"
"22:45","Stevenage","Leyton Orient","Scheduled"
"22:45","Mansfield","Reading","Scheduled"
"22:45","Doncaster","Luton","Scheduled"
"22:45","Barrow","Bristol Rovers","Scheduled"
"22:45","Gillingham","MK Dons","Scheduled"
"22:45","Salford","Walsall","Scheduled"
"22:45","Ayr United FC","Queens Park FC","Scheduled"
"22:45","Peterhead FC","Alloa Athletic FC","Scheduled"
"22:45","Flint Mountain","CPD Y Rhyl 1879","Scheduled"
"22:45","Fleetwood","Cheltenham","Scheduled"
"22:45","Scunthorpe","Sutton","Scheduled"
"22:45","Eastleigh","Brackley","Scheduled"
"22:45","Aldershot","Carlisle","Scheduled"
"22:45","Southend","Gateshead","Scheduled"
"22:45","Annan Athletic FC","Elgin City FC","Scheduled"
"22:45","Wealdstone","Tamworth","Scheduled"
"22:45","Woking","Boreham","Scheduled"
"22:45","Dumbarton FC","Stranraer FC","Scheduled"
"22:45","Chorley","South Shields","Scheduled"
"22:45","Curzon","Oxford City","Scheduled"
"22:45","Bedford Town ","Worksop","Scheduled"
"22:45","Alfreton","Radcliffe","Scheduled"
"22:45","Marine","Macclesfield FC","Scheduled"
"22:45","Kidderminster","Peterborough Sports","Scheduled"
"22:45","Merthyr","Chester","Scheduled"
"22:45","Hereford","Leamington","Scheduled"
"22:45","Darlington","Buxton","Scheduled"
"22:45","Scarborough","Kings Lynn","Scheduled"
"22:45","Fylde","Telford","Scheduled"
"22:45","Southport","Spennymoor","Scheduled"
"22:45","Torquay","Salisbury","Scheduled"
"22:45","Worthing","Maidenhead","Scheduled"
"22:45","Slough Town","Hampton & R","Scheduled"
"22:45","Eastbourne","Ebbsfleet","Scheduled"
"22:45","Weston Super Mare","Totton","Scheduled"
"22:45","Bath","Farnborough","Scheduled"
"22:45","Dorking Wanderers","Chelmsford","Scheduled"
"22:45","Horsham","Hornchurch","Scheduled"
"22:45","Dover","Tonbridge","Scheduled"
"22:45","Maidstone","Dag & Red","Scheduled"
"22:45","Hemel Hempstead","Chippenham","Scheduled"
"22:45","Kettering","Alvechurch","Scheduled"
"22:45","Parkway","Wimborne","Scheduled"
"22:45","Cheshunt","Dartford","Scheduled"
"22:45","Dulwich","Whitehawk","Scheduled"
"22:45","Farnham","Havant & W","Scheduled"
"22:45","Stratford","Halesowen","Scheduled"
"22:45","Cleethorpes Town","Morpeth","Scheduled"
"22:45","Bishop's Stortford","Harborough Town FC","Scheduled"
"22:45","Chertsey","Taunton","Scheduled"
"22:45","Canvey","Chichester Utd","Scheduled"
"22:45","Brickfield","Airbus UK Broughton","Scheduled"
"22:45","Loughgall FC","Ards FC","Scheduled"
"22:45","Berkhamsted FC","Hanwell","Scheduled"
"22:45","Harland And Wolff Welders","Dundela FC","Scheduled"
"22:45","Warrenpoint Town","Newington FC","Scheduled"
"23:00","Atletico Madrid","Tottenham","Scheduled"
"23:00","Atalanta BC","Bayern Munich","Scheduled"
"23:00","Newcastle","Barcelona","Scheduled"
"23:00","Stoke","Ipswich","Scheduled"
"23:00","R. Santander","Boca Jrs Cali","Scheduled"
"23:00","Once Caldas Sa","CDP Junior W","Scheduled"
"23:00","Cambute","Sarchi","Scheduled"
"23:30","Breidablik Kopavogur W","IBV Vestmannaeyjar W","Scheduled"
"23:30","Llaneros W","Fortaleza Ceif FC","Scheduled"
"00:00","International W","Ind. Medellin W","Scheduled"
"01:00","Portuguesa","Avai","Scheduled"
"01:00","Espanola","Magallanes","Scheduled"
"01:00","Bolivar U20","Flamengo U20","Scheduled"
"01:00","America Cali W","Orsomarso SC","Scheduled"
"01:00","Atl. Nacional W","Millonarios W","Scheduled"
"01:30","Joinville","Sao Bernardo FC","Scheduled"
"01:45","CA Independiente Avellaneda","Union de Santa Fe","Scheduled"
