Time,Home,Away,Status
"20:45","Galatasaray Istanbul","Liverpool FC","Not started"
"23:00","Newcastle United","FC Barcelona","Not started"
"23:00","Atletico Madrid","Tottenham Hotspur","Not started"
"23:00","Atalanta BC","Bayern Munich","Not started"
"22:45","Leicester City","Bristol City","Not started"
"22:45","Millwall FC","Derby County","Not started"
"22:45","Portsmouth FC","Swansea City","Not started"
"22:45","Sheffield Wednesday","Watford FC","Not started"
"22:45","Wrexham AFC","Hull City","Not started"
"23:00","Stoke City","Ipswich Town","Not started"
"22:45","Barnsley FC","Cardiff City","Not started"
"22:45","Wigan Athletic","Plymouth Argyle","Not started"
"22:45","Exeter City","Lincoln City","Not started"
"22:45","Stevenage FC","Leyton Orient London","Not started"
"22:45","Mansfield Town","Reading FC","Not started"
"22:45","Doncaster Rovers","Luton Town","Not started"
"22:45","Barrow AFC","Bristol Rovers","Not started"
"22:45","Gillingham FC","Milton Keynes Dons","Not started"
"22:45","Fleetwood Town","Cheltenham Town","Not started"
"22:45","Salford City","Walsall FC","Not started"
"22:00","K Beerschot VA","RSC Anderlecht Futures","Not started"
"22:00","KAS Eupen","Koninklijke Lierse Sportkring","Not started"
"22:00","Jong KRC Genk","Club NXT","Not started"
"22:00","Patro Eisden Maasmechelen","RFC Liege","Not started"
"22:45","Scunthorpe United","Sutton United","Not started"
"22:45","Eastleigh FC","Brackley Town FC","Not started"
"22:45","Wealdstone FC","Tamworth FC","Not started"
"22:45","Aldershot Town FC","Carlisle United","Not started"
"22:45","Southend United","Gateshead FC","Not started"
"22:45","Woking FC","Boreham Wood FC","Not started"
"22:45","Bath City FC","Farnborough FC","Not started"
"22:45","Dorking Wanderers","Chelmsford City","Not started"
"22:45","Dover Athletic FC","Tonbridge Angels","Not started"
"22:45","Eastbourne Borough","Ebbsfleet United FC","Not started"
"22:45","Hemel Hempstead Town","Chippenham Town FC","Not started"
"22:45","Horsham FC","Hornchurch FC","Not started"
"22:45","Maidstone United FC","Dagenham and Redbridge FC","Not started"
"22:45","Slough Town","Hampton & Richmond Borough","Not started"
"22:45","Torquay United","Salisbury FC","Not started"
"22:45","Weston-super-Mare","AFC Totton","Not started"
"22:45","Worthing FC","Maidenhead United FC","Not started"
"22:45","AFC Fylde","AFC Telford United","Not started"
"22:45","Alfreton Town FC","Radcliffe FC","Not started"
"22:45","Bedford Town Football Club","Worksop Town","Not started"
"22:45","Chorley FC","South Shields","Not started"
"22:45","Curzon Ashton FC","Oxford City","Not started"
"22:45","Darlington FC","Buxton FC","Not started"
"22:45","Hereford FC","Leamington FC","Not started"
"22:45","Kidderminster Harriers FC","Peterborough Sports","Not started"
"22:45","Marine FC","Macclesfield FC","Not started"
"22:45","Merthyr Town","Chester FC","Not started"
"22:45","Scarborough Athletic","King's Lynn Town","Not started"
"22:45","Southport FC","Spennymoor Town FC","Not started"
"23:00","Quepos Cambute","AD Sarchi","Not started"
"20:30","SK Sturm Graz II","FC Liefering","Not started"
"20:30","FAC Wien","Schwarz-Weiss Bregenz","Not started"
"21:00","Vilnius FK Zalgiris","FK Suduva Marijampole","Not started"
"22:45","Peterhead FC","Alloa Athletic FC","Not started"
"22:00","FCM Traiskirchen","SV Gloggnitz","Not started"
"22:45","Bangor FC","Glentoran FC","Not started"
"22:45","Linfield FC","Portadown FC","Not started"
"22:45","Crusaders FC","Cliftonville FC","Not started"
"22:45","Ayr United FC","Queens Park FC","Not started"
"22:45","Annan Athletic FC","Elgin City FC","Not started"
"22:45","Dumbarton FC","Stranraer FC","Not started"
"22:45","Warrenpoint Town FC","Newington FC","Not started"
"22:45","Loughgall FC","Ards FC","Not started"
"22:45","Harland And Wolff Welders","Dundela FC","Not started"
"22:30","El Gouna FC","Al Masry Club","Not started"
"20:30","AL Bataeh (UAE)","Ajman Club","Not started"
"20:30","Al Dhafra SSC","Al Jazira (UAE)","Not started"
"21:30","FC Sportfreunde Schwaig 1913","FC Ismaning","Not started"
"22:45","Cleethorpes Town FC","Morpeth Town","Not started"
"22:45","Cheshunt FC","Dartford FC","Not started"
"22:45","Canvey Island","Chichester City FC","Not started"
"22:45","Dulwich Hamlet","Whitehawk FC","Not started"
"21:00","Olympique Lyon","Le Havre AC","Not started"
"23:00","CD Real Santander","Boca Juniors de Cali","Not started"
